timestamps,TP9,AF7,AF8,TP10,Right AUX
1744258515.380,-68.848,-41.016,-170.898,-28.809,-29.785
1744258515.384,-106.934,-47.852,-280.762,-46.387,16.113
1744258515.387,-9.277,-26.855,53.223,-21.484,77.637
1744258515.391,30.273,-20.996,197.266,2.441,61.035
1744258515.395,-63.477,-41.504,-79.102,-34.668,-64.453
1744258515.399,-122.559,-44.922,-255.859,-68.848,-76.172
1744258515.403,-58.594,-28.809,-37.598,-22.461,63.477
1744258515.407,38.086,-21.973,190.918,23.438,31.250
1744258515.411,-8.301,-30.273,39.062,-11.719,-92.773
1744258515.415,-121.582,-44.922,-238.281,-60.059,-96.680
1744258515.419,-84.961,-30.762,-130.371,-38.574,-31.738
1744258515.423,35.645,-4.395,193.359,5.859,-61.523
1744258515.427,32.715,-17.090,121.094,-0.977,-98.145
1744258515.430,-82.520,-43.457,-226.074,-59.570,-62.988
1744258515.434,-82.031,-36.133,-221.191,-66.895,-75.684
1744258515.438,25.879,-13.184,108.398,-11.719,-58.105
1744258515.442,49.805,-8.789,175.781,11.719,-26.855
1744258515.446,-47.852,-28.809,-144.531,-44.922,-96.191
1744258515.450,-102.539,-37.598,-264.648,-75.195,-56.152
1744258515.454,-18.066,-25.391,21.973,-31.250,6.836
1744258515.458,52.734,-17.578,186.523,-8.301,17.090
1744258515.462,-20.020,-32.227,-54.199,-34.180,15.625
1744258515.466,-104.492,-40.527,-261.719,-49.316,-42.969
1744258515.470,-50.293,-23.926,-76.660,-35.645,2.930
1744258515.473,33.203,-11.719,169.922,-20.508,50.293
1744258515.477,8.789,-25.879,39.062,-23.926,-87.891
1744258515.481,-93.262,-36.133,-248.535,-59.082,-172.852
1744258515.485,-90.332,-26.367,-172.363,-51.270,-1.465
1744258515.489,22.949,-10.742,141.602,2.441,36.133
1744258515.493,28.809,-21.484,121.094,-15.137,-93.750
1744258515.497,-86.914,-46.875,-189.453,-80.566,-121.094
1744258515.501,-111.816,-41.504,-226.074,-80.566,-79.102
1744258515.505,8.789,-21.484,88.379,-26.367,-37.109
1744258515.509,55.664,-17.090,182.129,0.000,-100.586
1744258515.512,-43.457,-33.203,-92.285,-37.109,-175.293
1744258515.516,-109.863,-39.551,-229.492,-61.523,-161.133
1744258515.520,-29.785,-28.809,21.973,-20.020,-17.578
1744258515.524,43.945,-20.020,188.477,9.766,40.039
1744258515.528,-21.484,-26.367,-49.316,-35.645,-45.410
1744258515.532,-110.352,-50.293,-277.344,-84.961,-113.770
1744258515.536,-64.941,-41.504,-104.980,-57.129,-31.250
1744258515.540,35.156,-7.324,165.039,-10.254,-3.906
1744258515.544,14.160,-15.137,66.406,-12.207,-51.758
1744258515.548,-92.285,-35.645,-227.051,-55.664,5.371
1744258515.552,-91.797,-29.785,-185.059,-68.359,58.105
1744258515.555,23.926,-10.742,131.836,-24.414,48.828
1744258515.559,44.922,-3.906,163.086,0.000,-29.785
1744258515.563,-63.477,-25.391,-151.367,-41.016,-84.473
1744258515.567,-93.262,-39.062,-238.281,-62.500,-89.355
1744258515.571,0.977,-20.996,47.363,-11.230,-40.527
1744258515.575,47.363,-10.254,163.086,3.418,-18.555
1744258515.579,-34.668,-33.691,-100.098,-54.199,-110.840
1744258515.583,-103.027,-45.898,-288.086,-56.641,-146.484
1744258515.587,-29.297,-27.832,-59.570,-14.648,-66.895
1744258515.591,56.641,-13.184,166.504,-8.789,-42.480
1744258515.595,-9.766,-29.297,-14.648,-41.504,-88.867
1744258515.598,-98.145,-45.898,-260.742,-76.172,-59.570
1744258515.602,-46.875,-31.738,-124.023,-54.688,-21.973
1744258515.606,54.688,-9.766,190.918,-9.766,13.672
1744258515.610,31.250,-18.066,119.141,-12.207,16.113
1744258515.614,-80.078,-40.039,-206.055,-54.688,-20.020
1744258515.618,-80.566,-31.250,-200.195,-57.617,-70.801
1744258515.622,35.156,-9.766,110.840,10.742,25.391
1744258515.626,62.012,-10.742,152.832,12.695,40.039
1744258515.630,-48.828,-36.621,-148.926,-55.664,-126.953
1744258515.634,-103.516,-50.293,-257.812,-63.965,-21.973
1744258515.637,-3.906,-26.367,50.781,-18.555,48.828
1744258515.641,61.035,-16.602,207.520,12.207,-51.270
1744258515.645,-30.762,-43.945,-72.266,-28.320,-65.430
1744258515.649,-112.793,-58.594,-274.414,-81.543,-38.086
1744258515.653,-53.711,-41.992,-37.598,-54.199,-37.598
1744258515.657,43.457,-10.254,223.633,-5.859,-14.648
1744258515.661,4.883,-27.832,40.039,-25.391,-12.695
1744258515.665,-98.633,-53.223,-276.855,-67.871,47.363
1744258515.669,-68.848,-33.203,-153.809,-44.434,114.746
1744258515.673,46.875,-14.160,181.152,8.789,7.812
1744258515.677,45.898,-26.855,121.582,5.371,-87.891
1744258515.680,-63.477,-47.852,-214.844,-36.621,-79.102
1744258515.684,-82.520,-40.527,-208.008,-31.738,-69.336
1744258515.688,26.855,-19.043,125.488,-18.066,-65.430
1744258515.692,52.734,-20.996,166.992,-17.578,-124.512
1744258515.696,-52.734,-39.551,-142.090,-41.504,-191.406
